concept_id,label,concept_class
1029249,Physical exam.total,LoincComponent
1781299,"Measurement of Infection, Lower Respiratory Fluid Nucleic Acid-base Microbial Detection, New Technology Group 6",Icd10pcsHierarchy
1991942,Autopsy,LoincMethod
21498504,Initial patient assessment,Answer
2788808,Examination of Musculoskeletal System,Icd10pcs
2788809,Examination of Female Reproductive System,Icd10pcs
2795260,Hearing Screening Assessment using Tympanometer,Icd10pcs
2795264,"Pure Tone Audiometry, Air Assessment using Occupational Hearing Equipment",Icd10pcs
2795265,"Pure Tone Audiometry, Air Assessment using Audiometer",Icd10pcs
2795266,"Pure Tone Audiometry, Air Assessment using Sound Field / Booth",Icd10pcs
2795267,"Pure Tone Audiometry, Air Assessment",Icd10pcs
2795268,"Pure Tone Audiometry, Air and Bone Assessment using Occupational Hearing Equipment",Icd10pcs
2795269,"Pure Tone Audiometry, Air and Bone Assessment using Audiometer",Icd10pcs
2795270,"Pure Tone Audiometry, Air and Bone Assessment using Sound Field / Booth",Icd10pcs
2795271,"Pure Tone Audiometry, Air and Bone Assessment",Icd10pcs
2795272,Bekesy Audiometry Assessment using Audiometer,Icd10pcs
2795273,Bekesy Audiometry Assessment using Sound Field / Booth,Icd10pcs
2795274,Bekesy Audiometry Assessment,Icd10pcs
2795289,Tone Decay Assessment using Tympanometer,Icd10pcs
2795424,Stenger Assessment using Audiometer,Icd10pcs
2795425,Stenger Assessment using Sound Field / Booth,Icd10pcs
2795426,Stenger Assessment,Icd10pcs
2795430,Tympanometry Assessment using Tympanometer,Icd10pcs
2795431,Tympanometry Assessment using Electroacoustic Immitance / Acoustic Reflex Equipment,Icd10pcs
2795432,Tympanometry Assessment,Icd10pcs
2795433,Eustachian Tube Function Assessment using Tympanometer,Icd10pcs
2795436,Acoustic Reflex Patterns Assessment using Tympanometer,Icd10pcs
2795439,Acoustic Reflex Threshold Assessment using Tympanometer,Icd10pcs
2795442,Acoustic Reflex Decay Assessment using Tympanometer,Icd10pcs
2795468,Cochlear Implant Assessment using Tympanometer,Icd10pcs
2795482,Monaural Hearing Aid Assessment using Tympanometer,Icd10pcs
2795620,Binaural Hearing Aid Assessment using Tympanometer,Icd10pcs
2795629,Assistive Listening System/Device Selection Assessment using Tympanometer,Icd10pcs
2795636,Sensory Aids Assessment using Tympanometer,Icd10pcs
3521631,NHS employee medical examination,Procedure
3522327,Child 2 year examination,Undefined
3522442,Child 2 year examination,Undefined
3522501,Child 2 year examination,Procedure
3522897,Child 2 year examination,Undefined
3523826,Neonatal hearing test,Undefined
3523967,Neonatal hearing test,Undefined
3525989,Pure tone audiometry,Undefined
3526826,School health check,Procedure
3528747,Learning disability health examination,Undefined
3529094,[V]Health examination of defined subpopulation,ContextDependent
3543817,Child examination for emotional development,Procedure
3543819,Child examination: emotional development,Undefined
3545315,Neonatal examination,Undefined
3545384,Child 6 to 8 week examination,Undefined
3545635,Annual school medical examination,Undefined
3545964,Offshore medical examination,Undefined
3545976,Seafarer medical examination,Undefined
3546089,Examination of learning disabled patient,Procedure
3547148,Pre-bout boxing medical examination,Undefined
3547149,Post-bout boxing medical examination,Undefined
35610065,Sexual health examination,Procedure
35610066,Armed forces health examination,Procedure
35610552,Institution inhabitant health examination,Procedure
3568630,Child 6 to 8 week examination,Procedure
3574028,Antipsychotic medication physical health check,Undefined
3574184,Child protection medical examination,Undefined
3574220,Carer health check,Undefined
36674696,Pre-retirement general health medical examination,Procedure
36674697,Medical examination for retirement on medical grounds,Procedure
36685911,Child 15 year examination,Procedure
36714958,Evaluation for workplace respirator wear,Procedure
37154571,Child 1 month examination,Procedure
37154572,Child 5 year examination,Procedure
37157542,Initial assessment of newborn,Procedure
37173358,Assessment for osteopathic care,Procedure
37204555,Child 15 year examination,Procedure
4013009,Periodic physical examination,Procedure
4013569,"History and physical examination, immigration",Procedure
4013570,"History and physical examination, occupation",Procedure
4014477,"History and physical examination, sports participation",Procedure
4014613,Child examination - 10 days,Procedure
4014615,Child examination - 6 weeks,Procedure
4014738,Child examination - birth,Procedure
4014849,Child 4.5 year examination,Procedure
4014853,Child 10 year examination,Procedure
4014856,Child examination: appearance,Procedure
4014857,Child examination: skin,Procedure
4014858,Child examination: vision,Procedure
4014859,Child examination: eyes,Procedure
4014860,Child examination: ears,Procedure
4014862,Child examination: femoral arteries,Procedure
