concept_id,label,concept_class
1002858,Infection of foot,LoincComponent
1004305,Date of previous biopsy,LoincComponent
1008422,Broken bone,LoincComponent
1011898,Left ventricular hypertrophy,LoincComponent
1012479,Squamous cell carcinoma,LoincComponent
1014894,Chronic lymphocytic leukemia,LoincComponent
1016367,Maculopapular rash,LoincComponent
1016368,Lymphadenopathy,LoincComponent
1018116,Pressure ulcer stage,LoincComponent
1021148,Pigmentation,LoincSystem
1021209,Rash,LoincSystem
1021263,Skin scar,LoincSystem
1022041,Radius,LoincSystem
1022050,Ulna,LoincSystem
1022067,Ulnar artery,LoincSystem
10225,Contusion of right ear,6CharNonbillCode
10226,Contusion of left ear,6CharNonbillCode
10242,Abrasion of lip,6CharNonbillCode
10245,External constriction of lip,6CharNonbillCode
10254,Abrasion of other part of head,5CharNonbillCode
10256,Contusion of other part of head,5CharNonbillCode
10264,Contusion of unspecified part of head,5CharNonbillCode
1027712,Skin melanoma,LoincSystem
1028152,Suicidal behavior,LoincComponent
1028252,Diffuse large B-cell lymphoma,LoincComponent
10293,Unspecified open wound of nose,5CharNonbillCode
1029833,Abscess,LoincSystem
1030617,Immunization,LoincComponent
1030926,Physical findings skin pressure injury,LoincComponent
1031992,Asthma,LoincComponent
1032212,Diabetic foot ulcer(s),LoincComponent
1032421,Hip fracture,LoincComponent
1032468,Infection of the foot,LoincComponent
1032678,Night sweats,LoincComponent
1032808,Radial artery,LoincSystem
1032817,Radial artery Left,LoincSystem
1032836,Radial artery Right,LoincSystem
1032854,Radius diaphysis,LoincSystem
1032938,Pressure injury,LoincComponent
1032939,Pressure injury stage,LoincComponent
1033016,Rashes,LoincComponent
1033206,Stasis pressure injury,LoincComponent
1033235,Surgical wound,LoincComponent
1033237,Surgical wounds,LoincComponent
1033351,Ulcers,LoincComponent
1033452,Wound infection,LoincComponent
1033525,Radius.diaphysis Right,LoincSystem
1033532,Ulna diaphysis Right,LoincSystem
1033702,Ulcer,LoincSystem
1033703,Ulna diaphysis,LoincSystem
1033704,Ulnar artery Left,LoincSystem
1033705,Ulnar artery Right,LoincSystem
1033739,Wound,LoincSystem
1033821,Skin conditions,LoincComponent
1034563,Pressure ulcers,LoincComponent
1034650,Stage 3 or 4 pressure injury with largest surface dimensions,LoincComponent
1034716,Diabetic foot ulcers,LoincComponent
1035236,Excessive sweating,Answer
10359,Fracture of vault of skull,4CharNonbillCode
10367,Other fracture of base of skull,5CharNonbillCode
10368,Fracture of nasal bones,4CharNonbillCode
10369,Fracture of orbital floor,4CharNonbillCode
10373,LeFort I fracture,6CharNonbillCode
10374,LeFort II fracture,6CharNonbillCode
10375,LeFort III fracture,6CharNonbillCode
10377,Fracture of tooth (traumatic),4CharNonbillCode
10379,"Fracture of mandible, unspecified",6CharNonbillCode
10380,Fracture of condylar process of mandible,5CharNonbillCode
10382,Fracture of coronoid process of mandible,5CharNonbillCode
10383,Fracture of ramus of mandible,5CharNonbillCode
10388,Fractures of other specified skull and facial bones,4CharNonbillCode
10689,Unspecified injury of nose,5CharNonbillCode
10690,Unspecified injury of face,5CharNonbillCode
10691,Contusion of throat,4CharNonbillCode
1073437,Decompression fasciotomy of anterior and posterior compartments of lower leg,Procedure
1074839,Empyema of nasal sinus,Disorder
1075007,Complete transection of thoracic aorta,Disorder
1075258,Central papillary atrophy of tongue,Disorder
1075329,Bilateral hallux valgus,Disorder
1075791,Maculopapular cutaneous mastocytosis,Disorder
1075839,Becker nevus syndrome,Disorder
1075851,Full schwannomatosis,Disorder
1075914,Disseminated Langerhans cell histiocytosis of bone,Disorder
1076184,Keratitis fugax hereditaria,Disorder
1076214,Nephrotomy with tube drainage,Procedure
1076290,Neisseria gonorrhoeae proctitis,Disorder
1076320,Fracture of distal epiphysis of femur,Disorder
1076373,Infective cervicitis,Disorder
1076441,Neuropathic ulcer of foot,Disorder
1076471,Malignant neoplasm of pinna,Disorder
1077232,Contusion of left flank,Disorder
1077233,Contusion of right flank,Disorder
1077309,Contact dermatitis of skin of left hand,Disorder
1077310,Contact dermatitis of skin of right hand,Disorder
10826,Fracture of other parts of neck,4CharNonbillCode
10827,"Fracture of neck, unspecified",4CharNonbillCode
1093785,Surgical wound,LoincSystem
10963,Injury of unspecified blood vessel at neck level,4CharNonbillCode
10968,Crushing injury of larynx and trachea,4CharNonbillCode
10970,"Crushing injury of neck, part unspecified",4CharNonbillCode
10980,Contusion of right breast,5CharNonbillCode
10981,Contusion of left breast,5CharNonbillCode
11007,Contusion of right back wall of thorax,6CharNonbillCode
11008,Contusion of left back wall of thorax,6CharNonbillCode
1102626,Fanconi anemia,5CharBillingCode
1102731,Classic lichen planopilaris,5CharBillingCode
1102733,Other lichen planopilaris,5CharBillingCode
1102735,Other cicatricial alopecia,5CharBillingCode
1102854,"Nodular lymphocyte predominant Hodgkin lymphoma, in remission",5CharBillingCode
1102855,"Nodular sclerosis Hodgkin lymphoma, in remission",5CharBillingCode
1102856,"Mixed cellularity Hodgkin lymphoma, in remission",5CharBillingCode
1102857,"Lymphocyte depleted Hodgkin lymphoma, in remission",5CharBillingCode
1102858,"Lymphocyte-rich Hodgkin lymphoma, in remission",5CharBillingCode
1102859,"Other Hodgkin lymphoma, in remission",5CharBillingCode
1102867,"Cutaneous follicle center lymphoma, in remission",5CharBillingCode
1102868,"Other types of follicular lymphoma, in remission",5CharBillingCode
1102871,"Mantle cell lymphoma, in remission",5CharBillingCode
1102872,Primary central nervous system lymphoma,6CharBillingCode
1102874,"Diffuse large B-cell lymphoma, in remission",5CharBillingCode
1102875,"Lymphoblastic (diffuse) lymphoma, in remission",5CharBillingCode
1102876,"Burkitt lymphoma, in remission",5CharBillingCode
1102891,"Extranodal NK/T-cell lymphoma, nasal type not having achieved remission",5CharBillingCode
1102892,"Extranodal NK/T-cell lymphoma, nasal type, in remission",5CharBillingCode
1102897,Subcutaneous panniculitis-like T-cell lymphoma not having achieved remission,5CharBillingCode
1102898,"Subcutaneous panniculitis-like T-cell lymphoma, in remission",5CharBillingCode
1102899,Blastic NK-cell lymphoma not having achieved remission,5CharBillingCode
1102900,"Blastic NK-cell lymphoma, in remission",5CharBillingCode
1102901,Angioimmunoblastic T-cell lymphoma not having achieved remission,5CharBillingCode
1102902,"Angioimmunoblastic T-cell lymphoma, in remission",5CharBillingCode
