concept_id,label,concept_class
1032443,Hypertension,LoincComponent
1075886,Hypertension in chronic kidney disease stage 3B due to type 1 diabetes mellitus,Disorder
1075887,Hypertension in chronic kidney disease stage 3A due to type 1 diabetes mellitus,Disorder
1075888,Hypertension in chronic kidney disease stage 3 due to type 1 diabetes mellitus,Disorder
1075903,Hypertension in chronic kidney disease stage 2 due to type 1 diabetes mellitus,Disorder
1075904,Hypertension in chronic kidney disease stage 3B due to type 2 diabetes mellitus,Disorder
1075905,Hypertension in chronic kidney disease stage 3A due to type 2 diabetes mellitus,Disorder
1075906,Hypertension in chronic kidney disease stage 5 due to type 1 diabetes mellitus,Disorder
1075907,Hypertension in chronic kidney disease stage 4 due to type 1 diabetes mellitus,Disorder
1340364,Exacerbation of hypertensive disorder,Disorder
1340440,Exacerbation of pre-eclampsia,Disorder
141084,Pre-eclampsia or eclampsia with pre-existing hypertension,Disorder
1569124,Secondary hypertension,3CharNonbillCode
1571634,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",3CharNonbillCode
1571637,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",4CharNonbillCode
1571638,Pre-existing hypertensive heart disease complicating pregnancy,5CharNonbillCode
1571643,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium",4CharNonbillCode
1571647,Pre-existing hypertension with pre-eclampsia,3CharNonbillCode
1571652,Gestational [pregnancy-induced] hypertension without significant proteinuria,3CharNonbillCode
1571653,Pre-eclampsia,3CharNonbillCode
1571655,Severe pre-eclampsia,4CharNonbillCode
1571656,Unspecified pre-eclampsia,4CharNonbillCode
197930,"Renal hypertension complicating pregnancy, childbirth and the puerperium",Disorder
1989868,Hypertension (high blood pressure),Answer
312648,Benign essential hypertension,Disorder
314090,Mild pre-eclampsia,Disorder
314958,Benign secondary hypertension,Disorder
316866,Hypertensive disorder,Disorder
317895,Renovascular hypertension,Disorder
317898,Malignant essential hypertension,Disorder
318437,Malignant secondary hypertension,Disorder
319826,Secondary hypertension,Disorder
320128,Essential hypertension,Disorder
321074,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium",Disorder
321080,"Hypertension complicating pregnancy, childbirth and the puerperium",Disorder
321638,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium",Disorder
35207668,Essential (primary) hypertension,3CharBillingCode
35207675,Renovascular hypertension,4CharBillingCode
35207677,Hypertension secondary to endocrine disorders,4CharBillingCode
35207679,"Secondary hypertension, unspecified",4CharBillingCode
35210518,Neonatal hypertension,4CharBillingCode
3524798,Diastolic hypertension,Disorder
3526658,Diastolic hypertension,Undefined
3545642,Stage 1 hypertension,Undefined
3545643,Severe hypertension,Undefined
3545660,Hypertension resistant to drug therapy,Undefined
3545667,Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011),Undefined
3546634,Stage 1 hypertension (NICE - National Institute for Health and Clinical Excellence 2011) without evidence of end organ damage,Undefined
3546635,Stage 1 hypertension (NICE - National Institute for Health and Clinical Excellence 2011) with evidence of end organ damage,Undefined
35622939,Postpartum pre-eclampsia,Disorder
35624277,Hypertension due to gain-of-function mutation in mineralocorticoid receptor,Disorder
3656115,Hypertension due to aortic arch obstruction,Disorder
36713024,Labile systemic arterial hypertension,Disorder
36715087,Brachydactyly and arterial hypertension syndrome,Disorder
37016726,Supine hypertension,Disorder
37163010,Hypertension due to congenital adrenal hyperplasia,Disorder
37163257,Secondary hypertension due to renal tubular disorder,Disorder
37163263,Secondary hypertension due to congenital heart disorder,Disorder
37169699,Postpartum hemolysis-elevated liver enzymes-low platelet count syndrome,Disorder
37200492,Hypertensive crisis,3CharNonbillCode
37200493,Hypertensive urgency,4CharBillingCode
37200494,Hypertensive emergency,4CharBillingCode
37208172,Resistant hypertensive disorder,Disorder
37208293,Multiple drug intolerant hypertension,Disorder
4006325,Hypertension secondary to renal disease in obstetric context,Disorder
4023318,Malignant hypertension complicating AND/OR reason for care during childbirth,Disorder
40282397,Accelerated essential hypertension,Disorder
4028741,Benign hypertension,Disorder
4028951,Malignant hypertension complicating AND/OR reason for care during puerperium,Disorder
40318654,Pregnancy with hypertension (& [pre-existing]),Disorder
40318656,Transient hypertension of pregnancy,Disorder
40318657,Mild pre-eclampsia,Disorder
40318658,Pre-eclampsia NOS,Disorder
40318659,Severe proteinuric hypertension of pregnancy,Disorder
40322494,Maternal hypertension,Disorder
40323437,Essential hypertension,Disorder
40323857,Secondary hypertension,Disorder
40323860,Malignant hypertension,Disorder
40323861,Hypertensive disease NOS,Disorder
4032952,Renal sclerosis with hypertension,Disorder
4034031,Benign essential hypertension complicating AND/OR reason for care during pregnancy,Disorder
4034094,Moderate proteinuric hypertension of pregnancy,Disorder
4034095,Impending eclampsia,Disorder
4035655,Toxemia of pregnancy,Disorder
40373519,Malignant hypertension,Disorder
40394309,Hypertension induced by pregnancy,Disorder
40394310,Transient hypertension of pregnancy,Disorder
40394319,Mild pre-eclampsia,Disorder
40394323,Severe proteinuric hypertension of pregnancy,Disorder
40394355,Moderate proteinuric hypertension of pregnancy,Disorder
40394357,"Syndrome of hemolysis, elevated liver enzymes and low platelet",Disorder
40394358,Proteinuric hypertension of pregnancy,Disorder
40398391,Hypertensive disease,Disorder
40398393,Benign essential hypertension,Disorder
40398394,Systolic hypertension,Disorder
40398424,Secondary benign renovascular hypertension,Disorder
40429408,Malignant secondary renovascular hypertension,Disorder
40481896,Hypertensive urgency,Disorder
4048212,Goldblatt hypertension,Disorder
40484842,Benign secondary hypertension,Disorder
4049389,Paroxysmal hypertension,Disorder
40505836,Transient hypertension of pregnancy,Disorder
40557800,White coat hypertension,Disorder
40562800,White coat hypertension,Disorder
40563470,White coat hypertension,Disorder
