concept_id,label,concept_class
1032443,Hypertension,LoincComponent
1989868,Hypertension (high blood pressure),Answer
316866,Hypertensive disorder,Disorder
320128,Essential hypertension,Disorder
35207668,Essential (primary) hypertension,3CharBillingCode
44821949,Unspecified essential hypertension,4DigBillingCode
44830637,"Complications affecting other specified body systems, not elsewhere classified, hypertension",5DigBillingCode
44833556,Essential hypertension,3DigNonbillCode
45591453,Essential (primary) hypertension,Icd10Hierarchy
45876622,Hypertension,Answer
45883495,High blood pressure,Answer
