concept_id,label,concept_class
1008437,Pulmonary hypertension,LoincComponent
1009213,Cardiac arrest,LoincComponent
1018678,Heart failure,LoincMethod
1032138,Congestive heart failure,LoincComponent
1034842,Chest pain,LoincComponent
1074906,Heart failure following administration of antineoplastic agent,Disorder
1076587,Angina due to coronary arteriosclerosis in artery of transplanted heart,Disorder
1076588,Angina due to arteriosclerosis of coronary artery bypass graft of transplanted heart,Disorder
1076589,Preinfarction syndrome due to coronary arteriosclerosis in artery of transplanted heart,Disorder
1126246,Current or prior left ventricular ejection fraction (lvef) less than or equal to 40% or documentation of moderately or severely depressed left ventricular systolic function,Hcpcs
1244580,Tricuspid valve stenosis with regurgitation due to neuroendocrine tumor,Disorder
1244581,Tricuspid valve regurgitation due to neuroendocrine tumor,Disorder
1244582,Tricuspid valve stenosis due to neuroendocrine tumor,Disorder
1245073,Acute exacerbation of chronic heart failure,Disorder
1246434,Chronic primary thoracic pain,Disorder
1326592,"Pulmonary hypertension, unspecified",5CharBillingCode
1326594,Pulmonary hypertension due to left heart disease,5CharBillingCode
1326595,Pulmonary hypertension due to lung diseases and hypoxia,5CharBillingCode
1326596,Chronic thromboembolic pulmonary hypertension,5CharBillingCode
1326597,Other secondary pulmonary hypertension,5CharBillingCode
1326598,Eisenmenger's syndrome,5CharBillingCode
1326600,Right heart failure,5CharNonbillCode
1326601,"Right heart failure, unspecified",6CharBillingCode
1326602,Acute right heart failure,6CharBillingCode
1326604,Acute on chronic right heart failure,6CharBillingCode
1326606,Biventricular heart failure,5CharBillingCode
1326607,High output heart failure,5CharBillingCode
1326608,End stage heart failure,5CharBillingCode
1326773,Pulmonary hypertension of newborn,5CharBillingCode
1340247,Exacerbation of angina pectoris,Disorder
1340275,Exacerbation of chest pain,ClinicalFinding
1340281,Exacerbation of chronic heart failure,Disorder
1340289,Exacerbation of congestive heart failure,Disorder
1340348,Exacerbation of heart failure,Disorder
1340441,Exacerbation of preinfarction syndrome,Disorder
1340451,Exacerbation of pulmonary hypertension,Disorder
134159,Precordial pain,ClinicalFinding
1348463,Fontan related circulation,5CharNonbillCode
1348466,Other Fontan-associated condition,6CharBillingCode
1450472,Chronic primary chest pain syndrome,Disorder
1472048,Heart Failure,LoincComponent
1472251,Heart Failure,Answer
1569114,Rheumatic mitral valve diseases,3CharNonbillCode
1569115,Rheumatic aortic valve diseases,3CharNonbillCode
1569116,Rheumatic tricuspid valve diseases,3CharNonbillCode
1569118,Other rheumatic heart diseases,3CharNonbillCode
1569119,Other specified rheumatic heart diseases,4CharNonbillCode
1569125,Angina pectoris,3CharNonbillCode
1569139,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris,5CharNonbillCode
1569140,Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris,5CharNonbillCode
1569150,Other pulmonary heart diseases,3CharNonbillCode
1569152,Other diseases of pulmonary vessels,3CharNonbillCode
1569153,Acute pericarditis,3CharNonbillCode
1569155,Acute and subacute endocarditis,3CharNonbillCode
1569156,Nonrheumatic mitral valve disorders,3CharNonbillCode
1569168,Cardiac arrest,3CharNonbillCode
1569176,Ventricular fibrillation and flutter,4CharNonbillCode
1569178,Heart failure,3CharNonbillCode
1569179,Systolic (congestive) heart failure,4CharNonbillCode
1569180,Diastolic (congestive) heart failure,4CharNonbillCode
1569423,Postprocedural cardiac insufficiency,5CharNonbillCode
1569424,Postprocedural cardiac arrest,5CharNonbillCode
1569433,Intraoperative cardiac arrest,5CharNonbillCode
1569991,Rheumatoid heart disease with rheumatoid arthritis,4CharNonbillCode
1569992,Rheumatoid heart disease with rheumatoid arthritis of shoulder,5CharNonbillCode
1569993,Rheumatoid heart disease with rheumatoid arthritis of elbow,5CharNonbillCode
1569994,Rheumatoid heart disease with rheumatoid arthritis of wrist,5CharNonbillCode
1569995,Rheumatoid heart disease with rheumatoid arthritis of hand,5CharNonbillCode
1569996,Rheumatoid heart disease with rheumatoid arthritis of hip,5CharNonbillCode
1569997,Rheumatoid heart disease with rheumatoid arthritis of knee,5CharNonbillCode
1569998,Rheumatoid heart disease with rheumatoid arthritis of ankle and foot,5CharNonbillCode
1572194,Other chest pain,4CharNonbillCode
1620328,Congestive heart failure,Answer
195464,Epidemic pleurodynia,Disorder
197970,Persistent fetal circulation,Disorder
312334,Constrictive pericarditis,Disorder
312338,Benign hypertensive heart disease with congestive heart failure,Disorder
312383,Postpartum cardiomyopathy,Disorder
312543,Meningococcal pericarditis,Disorder
312728,Congenital tricuspid atresia and stenosis,Disorder
312927,Acute cor pulmonale,Disorder
312928,Adhesive pericarditis,Disorder
313005,Congenital stenosis of pulmonary valve,Disorder
313006,Congenital stenosis of mitral valve,Disorder
313007,Congenital insufficiency of mitral valve,Disorder
313221,Rheumatic aortic stenosis,Disorder
313416,Syphilitic endocarditis of mitral valve,Disorder
313500,Acute rheumatic heart disease,Disorder
313698,Syphilitic endocarditis of tricuspid valve,Disorder
313964,Syphilitic endocarditis of pulmonary valve,Disorder
314368,Mitral stenosis with insufficiency,Disorder
314378,Hypertensive heart disease with congestive heart failure,Disorder
314967,Obscure African cardiomyopathy,Disorder
315273,Mitral valve stenosis,Disorder
315282,Rheumatic disease of aortic valve,Disorder
315293,Acute idiopathic pericarditis,Disorder
315295,Congestive rheumatic heart failure,Disorder
315296,Preinfarction syndrome,Disorder
315469,Coxsackie pericarditis,Disorder
315560,Primary endomyocardial fibrosis cardiomyopathy,Disorder
315830,Prinzmetal angina,Disorder
315831,Chronic pulmonary heart disease,Disorder
315832,Angina decubitus,Disorder
316139,Heart failure,Disorder
316994,Malignant hypertensive heart disease with congestive heart failure,Disorder
317000,Kyphoscoliotic heart disease,Disorder
317109,Respiratory arrest,Disorder
317296,Rheumatic disease of pulmonary valve,Disorder
317890,Mitral and aortic stenosis,Disorder
318689,Syphilitic endocarditis of aortic valve,Disorder
318776,Rheumatic mitral regurgitation,Disorder
318856,Neonatal respiratory arrest,Disorder
