concept_id,label,concept_class
1076587,Angina due to coronary arteriosclerosis in artery of transplanted heart,Disorder
1076588,Angina due to arteriosclerosis of coronary artery bypass graft of transplanted heart,Disorder
1076589,Preinfarction syndrome due to coronary arteriosclerosis in artery of transplanted heart,Disorder
1246434,Chronic primary thoracic pain,Disorder
134159,Precordial pain,ClinicalFinding
1450472,Chronic primary chest pain syndrome,Disorder
195464,Epidemic pleurodynia,Disorder
315296,Preinfarction syndrome,Disorder
315830,Prinzmetal angina,Disorder
315832,Angina decubitus,Disorder
321318,Angina pectoris,Disorder
35615052,Arteriosclerosis of autologous vein coronary artery bypass graft with angina,Disorder
35615053,Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft,Disorder
3655579,Neuralgia of twelfth thoracic nerve,ClinicalFinding
36676841,Pain of right shoulder blade,ClinicalFinding
36676842,Pain of left shoulder blade,ClinicalFinding
36676843,Pain of right acromioclavicular joint,ClinicalFinding
36676844,Pain of left acromioclavicular joint,ClinicalFinding
36685038,Pain of right sternoclavicular joint,ClinicalFinding
36685039,Pain of left sternoclavicular joint,ClinicalFinding
36686956,Bilateral acromioclavicular joint pain,ClinicalFinding
36687071,Pain of bilateral sternoclavicular joints,ClinicalFinding
36687072,Bilateral pain of shoulder blades,ClinicalFinding
36712982,Unstable angina co-occurrent and due to coronary arteriosclerosis,Disorder
36712983,Angina co-occurrent and due to coronary arteriosclerosis,Disorder
36712984,Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft,Disorder
37017537,Postinfective intercostal neuralgia,Disorder
37017545,Intercostal neuralgia as late effect of trauma,Disorder
37155941,Chronic visceral pain in thoracic region due to disorder,Disorder
37163732,Pain associated with left breast implant,Disorder
37163733,Pain associated with right breast implant,Disorder
37167256,Burning chest pain,ClinicalFinding
37169384,Preinfarction syndrome due to arteriosclerosis of nonautologous biological coronary artery bypass graft,Disorder
37209632,Stable angina due to coronary arteriosclerosis,Disorder
37309713,Unstable angina due to arteriosclerosis of autologous vein coronary artery bypass graft,Disorder
4001098,Radiating chest pain,ClinicalFinding
4009385,Acute chest pain,ClinicalFinding
4010016,Chest wall pain,ClinicalFinding
4010017,Atypical chest pain,ClinicalFinding
4012690,Thoracic nerve root pain,ClinicalFinding
4021482,Ischemic chest pain,ClinicalFinding
4029911,Trigger point mastalgia,ClinicalFinding
4034226,Cyclical mastalgia,ClinicalFinding
4034807,Pain associated with breast implant,Disorder
4044396,Intercostal post-herpetic neuralgia,Disorder
4044411,Abdominal cutaneous nerve entrapment syndrome,Disorder
4045424,Pleuropericardial chest pain,ClinicalFinding
4047840,Mastalgia of puberty,ClinicalFinding
40485490,Acute postthoracotomy pain syndrome,ClinicalFinding
4049524,Scapulalgia,ClinicalFinding
4059025,Parasternal pain,ClinicalFinding
4060060,Costal margin chest pain,ClinicalFinding
4060316,Central chest pain,ClinicalFinding
4060317,Anterior chest wall pain,ClinicalFinding
4066258,Breastfeeding painful,ClinicalFinding
4068938,Syncope anginosa,Disorder
4069316,Clavicle pain,ClinicalFinding
4078531,Status anginosus,Disorder
4082452,Painful lactation,ClinicalFinding
4083763,Sore nipple,ClinicalFinding
4090559,Intercostal neuralgia,ClinicalFinding
