concept_id,label,concept_class
1008528,Diabetes,LoincComponent
1032211,Diabetes mellitus,LoincComponent
1032212,Diabetic foot ulcer(s),LoincComponent
1032213,Diabetic retinopathy,LoincComponent
1034716,Diabetic foot ulcers,LoincComponent
1075372,Intermediate DEND syndrome,Disorder
1075652,Stable treated proliferative retinopathy due to diabetes mellitus,Disorder
1075653,Bilateral stable treated proliferative retinopathy due to diabetes mellitus,Disorder
1075886,Hypertension in chronic kidney disease stage 3B due to type 1 diabetes mellitus,Disorder
1075887,Hypertension in chronic kidney disease stage 3A due to type 1 diabetes mellitus,Disorder
1075888,Hypertension in chronic kidney disease stage 3 due to type 1 diabetes mellitus,Disorder
1075903,Hypertension in chronic kidney disease stage 2 due to type 1 diabetes mellitus,Disorder
1075904,Hypertension in chronic kidney disease stage 3B due to type 2 diabetes mellitus,Disorder
1075905,Hypertension in chronic kidney disease stage 3A due to type 2 diabetes mellitus,Disorder
1075906,Hypertension in chronic kidney disease stage 5 due to type 1 diabetes mellitus,Disorder
1075907,Hypertension in chronic kidney disease stage 4 due to type 1 diabetes mellitus,Disorder
1075908,Chronic kidney disease stage 3B due to type 2 diabetes mellitus,Disorder
1075909,Chronic kidney disease stage 3A due to type 2 diabetes mellitus,Disorder
1075910,Chronic kidney disease stage 3B due to type 1 diabetes mellitus,Disorder
1075911,Chronic kidney disease stage 3A due to type 1 diabetes mellitus,Disorder
1102627,"Type 1 diabetes mellitus, presymptomatic",4CharNonbillCode
1244603,Presymptomatic type 1 diabetes mellitus,Disorder
1245117,Vasopressin-related polyuria,Disorder
1245158,Autosomal hereditary vasopressin resistance,Disorder
1245159,Hereditary vasopressin resistance,Disorder
1245160,Autosomal dominant vasopressin resistance,Disorder
1245161,Autosomal recessive vasopressin resistance,Disorder
1245162,X-linked hereditary vasopressin resistance,Disorder
1245163,Hereditary vasopressin-related polyuria,Disorder
1245164,Autosomal dominant hereditary vasopressin deficiency,Disorder
1245165,Autosomal recessive hereditary arginine vasopressin deficiency,Disorder
1245166,Secondary vasopressin deficiency,Disorder
1245167,Secondary vasopressin resistance,Disorder
1245219,Adipsic vasopressin-related polyuria,Disorder
1245220,Organic primary polydipsia,Disorder
1326491,Type 2 diabetes mellitus with ketoacidosis,4CharNonbillCode
1340233,Early exacerbation of retinopathy due to diabetes mellitus,Disorder
1340306,Exacerbation of diabetes mellitus,Disorder
1340515,Progression of diabetes mellitus,Disorder
1340528,Slowly progressive insulin dependent diabetes mellitus type 1A,Disorder
