root,strategy,total_count,class_distribution
201254,dual_semantic_expansion,378477,OtcDrug:89096; PrescriptionDrug:61482; Disorder:32025; BodyStructure:15905; Procedure:13670; Organism:11661; Substance:9984; ClinicalDrug:9409; ClinicalObservation:8157; Survey:7119; LabTest:6929; Icd10Code:6514; 5DigBillingCode:6265; ClinicalDrugComp:5573; ClinicalFinding:4993; LoincComponent:4841; LoincHierarchy:4784; BrandedDrugComp:4564; BrandName:4382; Ingredient:4317; ClinicalDrugForm:3893; BrandedDoseGroup:3839; 4CharBillingCode:3740; 4DigBillingCode:3585; BrandedDrug:3512; BrandedDrugForm:2918; PharmabiolProduct:2856; ClinicalDoseGroup:2734; Answer:2612; PreciseIngredient:2528; 5CharBillingCode:2351; 4CharNonbillCode:2109; Atc5th:2054; 5CharNonbillCode:2026; MorphAbnormality:1859; LoincGroup:1716; PhysicalObject:1597; QuantClinicalDrug:1484; Icd10Hierarchy:1383; 4DigNonbillCode:1315; 6CharBillingCode:1259; ObservableEntity:1227; Device:1159; 3CharNonbillCode:1093; QuantBrandedDrug:1064; 6CharNonbillCode:1046; LoincSystem:931; Atc4th:767; 3DigNonbillCode:719; Event:708; 4DigBillingECode:703; QualifierValue:648; MultipleIngredients:644; Icd10pcsHierarchy:537; BrandedPack:396; ClinicalPack:302; Atc3rd:240; LoincMethod:231; DoseForm:229; LoincClass:219; Vaccine:213; SocialContext:210; ClaimsAttachment:209; 3CharBillingCode:179; Hcpcs:171; PlasmaDerivative:162; Icd10pcs:162; Supplement:139; ContextDependent:139; 4DigBillingVCode:126; Atc2nd:90; 7CharBillingCode:88; 3DigBillingCode:82; NaviConcept:69; Attribute:63; 3DigNonbillECode:60; StagingScales:53; 5DigBillingVCode:53; Cohort:50; DoseFormGroup:43; HcpcsModifier:40; Location:32; Specimen:24; 4DigNonbillVCode:24; PhysicalForce:17; LoincProperty:14; Atc1st:14; Cosmetic:10; NonStandAllergenic:9; 3DigNonbillVCode:8; 3DigBillingECode:6; StandardAllergenic:4; RecordArtifact:3; LoincTime:2; Disposition:2; 2DigNonbillCode:1; AnimalDrug:1; 3DigBillingVCode:1; Icd9cmCode:1
1177480,lexical_baseline,35247,
1177480,descendants_only,15985,MarketedProduct:5769; BrandedDrugBox:2960; BrandedDrug:1824; BrandedDrugForm:1271; BrandedDrugComp:1239; QuantBrandedDrug:857; ClinicalDrugBox:566; QuantBrandedBox:434; QuantClinicalDrug:254; ClinicalDrug:229; QuantClinicalBox:218; BrandedDoseGroup:150; ClinicalDrugForm:80; ClinicalDrugComp:70; ClinicalDoseGroup:61; Ingredient:1; ClinicalPack:1; BrandedPack:1
1177480,partial_synonym_descendants,366188,11DigitNdc:104885; MarketedProduct:36125; 9DigitNdc:28455; OtcDrug:28199; BrandedDrug:23899; BrandedDrugBox:17607; ClinicalDrug:16256; BrandedDrugForm:16176; BrandedDrugComp:16103; PharmabiolProduct:10344; ClinicalDrugBox:9458; QuantBrandedDrug:8853; PrescriptionDrug:8239; ClinicalDrugForm:7782; QuantBrandedBox:6785; QuantClinicalDrug:6636; QuantClinicalBox:5531; BrandedDoseGroup:3744; ClinicalDrugComp:3650; ClinicalDoseGroup:2531; MultipleIngredients:1150; Device:933; Atc5th:922; Spl:833; BrandedPack:345; ClinicalPack:332; Substance:125; PreciseIngredient:75; Ingredient:69; Supplement:56; Hcpcs:47; BrandedPackBox:19; ClinicalPackBox:14; Procedure:5; Cosmetic:2; AnimalDrug:1; Disorder:1; Food:1
1177480,hierarchy_and_sameas,775,BrandedDoseGroup:150; ClinicalDrug:128; BrandedDrug:126; BrandedDrugComp:119; BrandedDrugForm:89; ClinicalDrugForm:62; ClinicalDoseGroup:61; ClinicalDrugComp:25; QuantBrandedDrug:4; QuantClinicalDrug:4; Ingredient:1; ClinicalPack:1; BrandedPack:1; LoincComponent:1; PharmabiolProduct:1; Substance:1; Answer:1
1177480,sameas_expansion_and_umls_rb,52,BrandName:20; ClinicalDrug:10; BrandedDrug:4; PharmabiolProduct:4; Substance:4; MultipleIngredients:3; PreciseIngredient:2; BrandedDrugForm:2; Ingredient:1; LoincComponent:1; Answer:1
1177480,sameas_expansion_and_umls_rb_or_par,321,ClinicalDrug:87; ClinicalDrugForm:51; BrandedDrug:30; BrandedDrugForm:27; PharmabiolProduct:22; BrandName:20; BrandedDoseGroup:19; LabTest:16; MultipleIngredients:12; ClinicalDoseGroup:12; LoincHierarchy:6; QuantBrandedDrug:4; QuantClinicalDrug:4; Substance:4; LoincComponent:3; PreciseIngredient:2; Ingredient:1; Answer:1
1177480,dual_semantic_expansion,378477,OtcDrug:89096; PrescriptionDrug:61482; Disorder:32025; BodyStructure:15905; Procedure:13670; Organism:11661; Substance:9984; ClinicalDrug:9409; ClinicalObservation:8157; Survey:7119; LabTest:6929; Icd10Code:6514; 5DigBillingCode:6265; ClinicalDrugComp:5573; ClinicalFinding:4993; LoincComponent:4841; LoincHierarchy:4784; BrandedDrugComp:4564; BrandName:4382; Ingredient:4317; ClinicalDrugForm:3893; BrandedDoseGroup:3839; 4CharBillingCode:3740; 4DigBillingCode:3585; BrandedDrug:3512; BrandedDrugForm:2918; PharmabiolProduct:2856; ClinicalDoseGroup:2734; Answer:2612; PreciseIngredient:2528; 5CharBillingCode:2351; 4CharNonbillCode:2109; Atc5th:2054; 5CharNonbillCode:2026; MorphAbnormality:1859; LoincGroup:1716; PhysicalObject:1597; QuantClinicalDrug:1484; Icd10Hierarchy:1383; 4DigNonbillCode:1315; 6CharBillingCode:1259; ObservableEntity:1227; Device:1159; 3CharNonbillCode:1093; QuantBrandedDrug:1064; 6CharNonbillCode:1046; LoincSystem:931; Atc4th:767; 3DigNonbillCode:719; Event:708; 4DigBillingECode:703; QualifierValue:648; MultipleIngredients:644; Icd10pcsHierarchy:537; BrandedPack:396; ClinicalPack:302; Atc3rd:240; LoincMethod:231; DoseForm:229; LoincClass:219; Vaccine:213; SocialContext:210; ClaimsAttachment:209; 3CharBillingCode:179; Hcpcs:171; PlasmaDerivative:162; Icd10pcs:162; Supplement:139; ContextDependent:139; 4DigBillingVCode:126; Atc2nd:90; 7CharBillingCode:88; 3DigBillingCode:82; NaviConcept:69; Attribute:63; 3DigNonbillECode:60; StagingScales:53; 5DigBillingVCode:53; Cohort:50; DoseFormGroup:43; HcpcsModifier:40; Location:32; Specimen:24; 4DigNonbillVCode:24; PhysicalForce:17; LoincProperty:14; Atc1st:14; Cosmetic:10; NonStandAllergenic:9; 3DigNonbillVCode:8; 3DigBillingECode:6; StandardAllergenic:4; RecordArtifact:3; LoincTime:2; Disposition:2; 2DigNonbillCode:1; AnimalDrug:1; 3DigBillingVCode:1; Icd9cmCode:1
1728416,lexical_baseline,0,
1728416,descendants_only,2386,ClinicalDrugBox:296; ClinicalDrug:234; BrandedDrugBox:233; MarketedProduct:217; QuantClinicalBox:216; QuantBrandedBox:196; BrandedDrug:194; BrandedDrugComp:163; QuantClinicalDrug:153; ClinicalDrugComp:140; QuantBrandedDrug:129; BrandedDrugForm:115; ClinicalDrugForm:44; BrandedDoseGroup:27; ClinicalDoseGroup:10; BrandedPackBox:7; ClinicalPackBox:7; BrandedPack:2; ClinicalPack:2; Ingredient:1
