concept_id,label,concept_class
1567940,Type 1 diabetes mellitus,3CharNonbillCode
1567941,Type 1 diabetes mellitus with ketoacidosis,4CharNonbillCode
1567951,Type 1 diabetes mellitus with other specified complications,4CharNonbillCode
201254,Type 1 diabetes mellitus,Disorder
35206878,Type 1 diabetes mellitus with unspecified complications,4CharBillingCode
35206879,Type 1 diabetes mellitus without complications,4CharBillingCode
36209547,Insulin dependent diabetes mellitus,LoincComponent
37110165,"X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome",Disorder
3968674,Diabetes Type I,Answer
4019513,Brittle diabetes mellitus,Disorder
4111314,Wolcott-Rallison dysplasia,Disorder
4129515,"Bird-headed dwarfism with progressive ataxia, insulin-resistant diabetes, goiter, and primary gonadal insufficiency",Disorder
439770,Ketoacidosis due to type 1 diabetes mellitus,Disorder
44820682,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",5DigBillingCode
45537959,"Type 1 diabetes mellitus, With other specified complications",Icd10Code
45542735,"Type 1 diabetes mellitus, With ketoacidosis",Icd10Code
45547624,Type 1 diabetes mellitus with other specified complication,5CharBillingCode
45552384,"Type 1 diabetes mellitus, With unspecified complications",Icd10Code
45557111,Type 1 diabetes mellitus with periodontal disease,6CharBillingCode
45576436,Type 1 diabetes mellitus,Icd10Hierarchy
45581351,"Type 1 diabetes mellitus, Without complications",Icd10Code
45595796,"Type 1 diabetes mellitus, With peripheral circulatory complications",Icd10Code
45755355,"Type 1 diabetes mellitus, With coma",Icd10Code
45883360,Diabetes Type 1,Answer
46237470,T1d,Answer
604357,Ketosis-prone diabetes mellitus,Disorder
