code,baseline,omop_expand,umls_expand,umls_syn_omop_expand
M05.752,,Y,,Y
M05.759,,Y,,Y
M05.76,,Y,,Y
M05.761,,Y,,Y
M05.762,,Y,,Y
M05.769,,Y,,Y
M05.77,,Y,,Y
M05.771,,Y,,Y
M05.772,,Y,,Y
M05.779,,Y,,Y
M05.79,,Y,,Y
M05.7A,,Y,,Y
M05.8,,Y,Y,Y
M05.80,,Y,,Y
M05.81,,Y,,Y
M05.811,,Y,,Y
M05.812,,Y,,Y
M05.819,,Y,,Y
M05.82,,Y,,Y
M05.821,,Y,,Y
M05.822,,Y,,Y
M05.829,,Y,,Y
M05.83,,Y,,Y
M05.831,,Y,,Y
M05.832,,Y,,Y
M05.839,,Y,,Y
M05.84,,Y,,Y
M05.841,,Y,,Y
M05.842,,Y,,Y
M05.849,,Y,,Y
M05.85,,Y,,Y
M05.851,,Y,,Y
M05.852,,Y,,Y
M05.859,,Y,,Y
M05.86,,Y,,Y
M05.861,,Y,,Y
M05.862,,Y,,Y
M05.869,,Y,,Y
M05.87,,Y,,Y
M05.871,,Y,,Y
M05.872,,Y,,Y
M05.879,,Y,,Y
M05.88,,Y,,Y
M05.89,,Y,,Y
M05.8A,,Y,,Y
M05.9,,Y,,Y
M05.90,,Y,,Y
M05.91,,Y,,Y
M05.92,,Y,,Y
M05.93,,Y,,Y
M05.94,,Y,,Y
M05.95,,Y,,Y
M05.96,,Y,,Y
M05.97,,Y,,Y
M05.98,,Y,,Y
M05.99,,Y,,Y
M05.A,,Y,,Y
M06,,Y,Y,Y
M06.0,,Y,Y,Y
M06.00,,Y,,Y
M06.01,,Y,,Y
M06.011,,Y,,Y
M06.012,,Y,,Y
M06.019,,Y,,Y
M06.02,,Y,,Y
M06.021,,Y,,Y
M06.022,,Y,,Y
M06.029,,Y,,Y
M06.03,,Y,,Y
M06.031,,Y,,Y
M06.032,,Y,,Y
M06.039,,Y,,Y
M06.04,,Y,,Y
M06.041,,Y,,Y
M06.042,,Y,,Y
M06.049,,Y,,Y
M06.05,,Y,,Y
M06.051,,Y,,Y
M06.052,,Y,,Y
M06.059,,Y,,Y
M06.06,,Y,,Y
M06.061,,Y,,Y
M06.062,,Y,,Y
M06.069,,Y,,Y
M06.07,,Y,,Y
M06.071,,Y,,Y
M06.072,,Y,,Y
M06.079,,Y,,Y
M06.08,,Y,,Y
M06.09,,Y,,Y
M06.0A,,Y,,Y
M06.1,,,Y,
M06.2,,Y,Y,Y
M06.20,,Y,Y,Y
M06.21,,Y,,Y
M06.211,,Y,,Y
M06.212,,Y,,Y
M06.219,,Y,,Y
M06.22,,Y,,Y
M06.221,,Y,,Y
M06.222,,Y,,Y
M06.229,,Y,,Y
M06.23,,Y,,Y
M06.231,,Y,,Y
M06.232,,Y,,Y
M06.239,,Y,,Y
M06.24,,Y,,Y
M06.241,,Y,,Y
M06.242,,Y,,Y
M06.249,,Y,,Y
M06.25,,Y,,Y
M06.251,,Y,,Y
M06.252,,Y,,Y
M06.259,,Y,,Y
M06.26,,Y,,Y
M06.261,,Y,,Y
M06.262,,Y,,Y
M06.269,,Y,,Y
M06.27,,Y,,Y
M06.271,,Y,,Y
M06.272,,Y,,Y
M06.279,,Y,,Y
M06.28,,Y,,Y
M06.29,,Y,,Y
M06.3,,,Y,
M06.311,,,Y,
M06.312,,,Y,
M06.351,,,Y,
M06.352,,,Y,
M06.36,,,Y,
M06.361,,,Y,
M06.362,,,Y,
M06.371,,,Y,
M06.372,,,Y,
M06.39,,,Y,
M06.8,,Y,,Y
M06.80,,Y,,Y
M06.81,,Y,,Y
M06.811,,Y,,Y
M06.812,,Y,,Y
M06.819,,Y,,Y
M06.82,,Y,,Y
M06.821,,Y,,Y
M06.822,,Y,,Y
M06.829,,Y,,Y
M06.83,,Y,,Y
M06.831,,Y,,Y
M06.832,,Y,,Y
M06.839,,Y,,Y
M06.84,,Y,,Y
M06.841,,Y,,Y
M06.842,,Y,,Y
M06.849,,Y,,Y
M06.85,,Y,,Y
M06.851,,Y,,Y
M06.852,,Y,,Y
M06.859,,Y,,Y
M06.86,,Y,,Y
M06.861,,Y,,Y
M06.862,,Y,,Y
M06.869,,Y,,Y
M06.87,,Y,,Y
M06.871,,Y,,Y
M06.872,,Y,,Y
M06.879,,Y,,Y
M06.88,,Y,,Y
M06.89,,Y,,Y
M06.8A,,Y,,Y
M06.9,Y,Y,Y,Y
M06.90,Y,Y,,Y
M06.91,Y,Y,,Y
M06.92,Y,Y,,Y
M06.93,Y,Y,,Y
M06.94,Y,Y,,Y
M06.95,Y,Y,,Y
M06.96,Y,Y,,Y
M06.97,Y,Y,,Y
M06.98,Y,Y,,Y
M06.99,Y,Y,,Y
M08,,,Y,
M08.0,,,Y,
M08.1,,,Y,
M08.2,,,Y,
M08.20,,,Y,
M08.2A,,,Y,
M08.3,,,Y,
M08.4,,,Y,
M08.40,,,Y,
M08.41,,,Y,
M08.419,,,Y,
M08.42,,,Y,
M08.429,,,Y,
M08.43,,,Y,
M08.439,,,Y,
M08.44,,,Y,
M08.45,,,Y,
M08.459,,,Y,
M08.46,,,Y,
M08.47,,,Y,
M08.479,,,Y,
M08.48,,,Y,
M08.9,,,Y,
M08.972,,Y,,Y
M09.0,,,Y,
M12.3,,,Y,
M12.30,,,Y,
M12.32,,,Y,
M12.34,,,Y,
M12.35,,,Y,
M12.351,,,Y,
M12.352,,,Y,
