code,baseline,omop_expand,umls_expand,umls_syn_omop_expand
K35,Y,Y,Y,Y
K35-K38,Y,,,
K35.0,Y,Y,Y,Y
K35.1,Y,Y,,Y
K35.2,Y,Y,Y,Y
K35.20,Y,Y,Y,Y
K35.200,Y,Y,,Y
K35.201,Y,Y,Y,Y
K35.209,Y,Y,Y,Y
K35.21,Y,Y,Y,Y
K35.210,Y,Y,Y,Y
K35.211,Y,Y,Y,Y
K35.219,Y,Y,Y,Y
K35.3,Y,Y,,Y
K35.30,Y,Y,,Y
K35.31,Y,Y,,Y
K35.32,Y,Y,Y,Y
K35.33,Y,Y,,Y
K35.8,Y,Y,,Y
K35.80,Y,Y,Y,Y
K35.89,Y,Y,Y,Y
K35.890,Y,Y,Y,Y
K35.891,Y,Y,,Y
K35.9,Y,Y,Y,Y
