concept_id,label,concept_class
1008528,Diabetes,LoincComponent
1032211,Diabetes mellitus,LoincComponent
1032212,Diabetic foot ulcer(s),LoincComponent
1032213,Diabetic retinopathy,LoincComponent
1034716,Diabetic foot ulcers,LoincComponent
1245117,Vasopressin-related polyuria,Disorder
1245158,Autosomal hereditary vasopressin resistance,Disorder
1326491,Type 2 diabetes mellitus with ketoacidosis,4CharNonbillCode
1348432,Generalized lipodystrophy,5CharBillingCode
1567940,Type 1 diabetes mellitus,3CharNonbillCode
1567941,Type 1 diabetes mellitus with ketoacidosis,4CharNonbillCode
1567951,Type 1 diabetes mellitus with other specified complications,4CharNonbillCode
1567956,Type 2 diabetes mellitus,3CharNonbillCode
1567967,Type 2 diabetes mellitus with other specified complications,4CharNonbillCode
1567974,Other specified diabetes mellitus with ketoacidosis,4CharNonbillCode
1567976,Other specified diabetes mellitus with ophthalmic complications,4CharNonbillCode
1567984,Other specified diabetes mellitus with other specified complications,4CharNonbillCode
1568047,Lactose intolerance,3CharNonbillCode
1571690,Gestational diabetes mellitus,4CharNonbillCode
1571693,Gestational diabetes mellitus in the puerperium,5CharNonbillCode
1619301,High blood glucose,LoincComponent
1620816,Diabetes without complications,Answer
192279,Disorder of kidney due to diabetes mellitus,Disorder
192286,Intestinal disaccharidase deficiency,Disorder
195771,Secondary diabetes mellitus,Disorder
201254,Type 1 diabetes mellitus,Disorder
201530,Hyperosmolar coma due to type 2 diabetes mellitus,Disorder
201820,Diabetes mellitus,Disorder
201826,Type 2 diabetes mellitus,Disorder
35206878,Type 1 diabetes mellitus with unspecified complications,4CharBillingCode
35206879,Type 1 diabetes mellitus without complications,4CharBillingCode
35206881,Type 2 diabetes mellitus with unspecified complications,4CharBillingCode
35206882,Type 2 diabetes mellitus without complications,4CharBillingCode
35206885,Other specified diabetes mellitus without complications,4CharBillingCode
35206911,Diabetes insipidus,4CharBillingCode
35207041,Congenital lactase deficiency,4CharBillingCode
35207042,Secondary lactase deficiency,4CharBillingCode
35207044,"Lactose intolerance, unspecified",4CharBillingCode
35209292,Nephrogenic diabetes insipidus,4CharBillingCode
35211420,"Hyperglycemia, unspecified",4CharBillingCode
36209547,Insulin dependent diabetes mellitus,LoincComponent
36210383,Diabetes mellitus (DM),Answer
36309877,Diabetic foot ulcer(s),Answer
36674577,Intolerance to lactose,ClinicalFinding
36715051,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome",Disorder
36716258,"Pancreatic hypoplasia, diabetes mellitus, congenital heart disease syndrome",Disorder
